idtabla,fechaventa,agente,supervisor,SUCURSAL,REGION,paquete_vendido,id_paquete,precio,TipoServicio,fecha
0,2025-09-03 10:38:26,5526,5380,Tlaquepaque,OCCIDENTE,NETFLIX PREMIUM 329 329,95,329.0,NETFLIX,2025-09-03
46698,2025-08-22 13:02:31,5872,5720,Cd. Morelia,TCO,PLAN ALTAN 100 100,102,100.0,MEGAMOVIL,2025-08-22
60365,2025-08-27 16:01:36,5826,5468,Tonalá,OCCIDENTE,DISNEY STANDARD CON ANUNCIOS 60 60,112,60.0,DISNEY,2025-08-27
65956,2025-09-15 15:46:42,5945,5468,Tlajomulco,OCCIDENTE,DISNEY STANDARD CON ANUNCIOS 60 60,112,60.0,DISNEY,2025-09-15
90262,2025-09-12 13:42:20,4125,3942,Zacapu,TCO,PLAN AT&T 100 100,105,100.0,MEGAMOVIL,2025-09-12
95425,2025-11-04 09:40:58,5872,5720,Tlajomulco,OCCIDENTE,PLAN AT&T 100 100,105,100.0,MEGAMOVIL,2025-11-04
103578,2025-08-22 09:59:36,5826,5468,Cd. Uruapan,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-08-22
104003,2025-10-15 13:01:02,5872,5720,Puerto Vallarta,OCCIDENTE,NETFLIX ANUNCIOS 80 80,113,80.0,NETFLIX,2025-10-15
110847,2026-03-05 13:25:10,5695,5821,Cd. Zamora,OCCIDENTE,MAX BASICO 80,125,80.0,HBO,2026-03-05
112809,2025-10-14 09:25:26,5735,4533,Cd. Guadalajara,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-10-14
114588,2025-08-21 17:12:02,5882,3942,Cd. Patzcuaro,TCO,PLAN ALTAN 100 100,102,100.0,MEGAMOVIL,2025-08-21
122491,2025-08-16 11:25:26,5526,5380,San Pedro,NORTE,DISNEY STANDARD CON ANUNCIOS 60 60,112,60.0,DISNEY,2025-08-16
132005,2025-10-13 15:57:32,5886,4714,Cd. Jerez,TCO,NETFLIX ANUNCIOS 80 80,112,80.0,NETFLIX,2025-10-13
135148,2025-08-22 10:33:59,5807,5468,Tonalá,OCCIDENTE,DISNEY STANDARD CON ANUNCIOS 60 60,112,60.0,DISNEY,2025-08-22
157543,2025-10-21 11:15:37,6078,3942,Cd. León,BAJIO,NETFLIX ANUNCIOS 80 80,113,80.0,NETFLIX,2025-10-21
162994,2025-08-22 12:39:11,5807,5468,Cd. Zihuatanejo,OCCIDENTE,DISNEY STANDARD CON ANUNCIOS 60 60,112,60.0,DISNEY,2025-08-22
163890,2025-08-20 16:36:59,5999,5720,Cd. La Piedad,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-08-20
166247,2025-08-08 17:10:49,5806,5720,Cd. Colima,OCCIDENTE,DISNEY STANDARD CON ANUNCIOS 60 60,112,60.0,DISNEY,2025-08-08
176515,2025-06-02 09:12:40,5869,5720,Zapopan,OCCIDENTE,PLAN ALTAN 150 150,78,150.0,MEGAMOVIL,2025-06-02
176516,2025-06-02 09:12:40,5720,5720,Zapopan,OCCIDENTE,PLAN ALTAN 150 150,78,150.0,MEGAMOVIL,2025-06-02
176517,2025-06-02 09:13:43,5395,4714,Zapopan,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176518,2025-06-02 09:13:43,5575,4714,Zapopan,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176519,2025-06-02 09:18:40,5887,5380,Zapopan,OCCIDENTE,PLAN ALTAN 150 150,78,150.0,MEGAMOVIL,2025-06-02
176520,2025-06-02 09:18:40,5695,5380,Zapopan,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176521,2025-06-02 09:20:58,5872,5720,Zapopan,OCCIDENTE,PLAN ALTAN 150 150,78,150.0,MEGAMOVIL,2025-06-02
176522,2025-06-02 09:20:58,5720,5720,Zapopan,OCCIDENTE,PLAN ALTAN 150 150,78,150.0,MEGAMOVIL,2025-06-02
176523,2025-06-02 09:25:01,5350,4533,Zapopan,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176524,2025-06-02 09:25:01,5572,4533,Zapopan,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176525,2025-06-02 09:27:02,5796,4714,Zapopan,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176526,2025-06-02 09:28:11,5817,3942,Zapopan,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176527,2025-06-02 09:29:57,5881,3942,Zapopan,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176528,2025-06-02 09:29:57,5765,3942,Zapopan,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176529,2025-06-02 09:30:53,5817,3942,Ocotlán,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176530,2025-06-02 09:30:53,5817,3942,Ocotlán,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176531,2025-06-02 09:37:11,5130,5468,Zapopan,OCCIDENTE,PLAN ALTAN 150 150,78,150.0,MEGAMOVIL,2025-06-02
176532,2025-06-02 09:37:11,5468,5468,Zapopan,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176533,2025-06-02 09:38:27,5575,4714,Zapopan,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176534,2025-06-02 09:38:27,5481,4714,Zapopan,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176535,2025-06-02 09:41:04,5769,4714,Zapopan,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176536,2025-06-02 09:41:34,3940,5380,Zapopan,OCCIDENTE,MAX BASICO 60 60,100,60.0,HBO,2025-06-02
176537,2025-06-02 09:41:35,5590,5380,Zapopan,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176540,2025-06-02 09:43:47,5526,5468,San Pedro,NORTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176541,2025-06-02 09:44:53,5851,3942,Zapopan,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176542,2025-06-02 09:44:53,3942,3942,Zapopan,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176543,2025-06-02 09:47:25,5882,3942,Zapopan,OCCIDENTE,PLAN ALTAN 150 150,78,150.0,MEGAMOVIL,2025-06-02
176544,2025-06-02 09:47:25,4125,3942,Zapopan,OCCIDENTE,PLAN ALTAN 150 150,78,150.0,MEGAMOVIL,2025-06-02
176545,2025-06-02 09:50:15,5881,3942,Cd. Morelia,TCO,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176546,2025-06-02 09:50:53,5399,3942,Cd. Morelia,TCO,PLAN ALTAN 150 150,78,150.0,MEGAMOVIL,2025-06-02
176547,2025-06-02 09:51:37,5420,3942,Cd. León,BAJIO,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176548,2025-06-02 09:51:37,4125,3942,Cd. León,BAJIO,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176549,2025-06-02 09:57:46,5855,4714,Cd. León,BAJIO,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176550,2025-06-02 09:59:01,5621,5468,Cd. León,BAJIO,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176551,2025-06-02 09:59:01,5621,5468,Cd. León,BAJIO,MAX BASICO 60 60,100,60.0,HBO,2025-06-02
176552,2025-06-02 09:59:01,5758,5468,Cd. León,BAJIO,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176553,2025-06-02 10:03:17,5602,3942,Tlaquepaque,OCCIDENTE,PLAN AT&T 150 150,62,150.0,MEGAMOVIL,2025-06-02
176554,2025-06-02 10:03:17,3942,3942,Tlaquepaque,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176555,2025-06-02 10:03:26,5887,5380,Tonalá,OCCIDENTE,PLAN AT&T 150 150,62,150.0,MEGAMOVIL,2025-06-02
176556,2025-06-02 10:03:26,5590,5380,Tonalá,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176557,2025-06-02 10:08:12,5769,4714,Tlaquepaque,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176558,2025-06-02 10:08:12,5532,4714,Tlaquepaque,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176559,2025-06-02 10:08:37,5802,5468,CD Guzman,OCCIDENTE,PLAN ALTAN 150 150,78,150.0,MEGAMOVIL,2025-06-02
176560,2025-06-02 10:08:37,5802,5468,CD Guzman,OCCIDENTE,PLAN ALTAN 150 150,78,150.0,MEGAMOVIL,2025-06-02
176561,2025-06-02 10:08:37,5802,5468,CD Guzman,OCCIDENTE,PLAN ALTAN 150 150,78,150.0,MEGAMOVIL,2025-06-02
176562,2025-06-02 10:08:37,5468,5468,CD Guzman,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176563,2025-06-02 10:09:02,5806,5468,Puerto Vallarta,OCCIDENTE,CAJA ADICIONAL HD Y XVIEW 0,91,0.0,XVIEW,2025-06-02
176564,2025-06-02 10:09:02,5805,5468,Puerto Vallarta,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176565,2025-06-02 10:11:35,3940,5380,Cd. León,BAJIO,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176566,2025-06-02 10:11:35,5695,5380,Cd. León,BAJIO,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176567,2025-06-02 10:12:52,5847,3942,CD Guzman,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176568,2025-06-02 10:12:52,5847,3942,CD Guzman,OCCIDENTE,MAX BASICO 60 60,100,60.0,HBO,2025-06-02
176569,2025-06-02 10:12:53,5765,3942,CD Guzman,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176570,2025-06-02 10:17:47,5879,5720,Tarimbaro,TCO,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176571,2025-06-02 10:17:47,5720,5720,Tarimbaro,TCO,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176572,2025-06-02 10:17:52,5420,3942,Tlajomulco,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176573,2025-06-02 10:17:52,3942,3942,Tlajomulco,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176574,2025-06-02 10:19:24,5735,4533,Tlajomulco,OCCIDENTE,MAX BASICO 60 60,100,60.0,HBO,2025-06-02
176575,2025-06-02 10:19:24,5572,4533,Tlajomulco,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176576,2025-06-02 10:20:06,5807,5468,Tlajomulco,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176577,2025-06-02 10:20:06,5758,5468,Tlajomulco,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
